Country_ISO,Year,ESG_G_Regulatory_Quality,ESG_G_Rule_of_Law,ESG_G_Political_Stability,ESG_G_Gov_Effectiveness
BEN,2016,-0.4684046,-0.3859257,0.2420032,-0.4948066
BEN,2017,-0.457321,-0.3899186,0.3155886,-0.46663
BEN,2018,-0.4519246,-0.4319457,0.1649971,-0.362429
BEN,2019,-0.4897407,-0.3953438,-0.1979768,-0.3133743
BEN,2020,-0.4363596,-0.3934577,-0.2831927,-0.1887935
BEN,2021,-0.3792796,-0.3852134,-0.4106645,-0.2018892
BEN,2022,-0.2859729,-0.468466,-0.4373008,-0.2149135
BEN,2023,-0.2359682,-0.3909174,-0.3096247,-0.216368
BEN,2024,-0.2772624,-0.4124793,-0.4030099,-0.1854211
BMU,2010,1.4639385,1.0340099,0.959812,0.7531799
BMU,2011,1.4650118,1.0485488,0.9534886,0.7518252
BMU,2012,1.4532839,1.0430097,0.9528211,0.7521664
BMU,2013,1.4515456,1.0306287,0.9507816,0.7525475
BMU,2014,0.6188909,-0.0402989,0.8176369,1.4563681
BMU,2015,0.6299601,0.8723133,0.8160725,1.4535264
BMU,2016,0.8693433,0.8732221,0.8121773,1.4545142
BMU,2017,0.8720819,0.8709978,0.8126545,1.454835
BMU,2018,0.8732079,0.873191,0.9762284,1.456596
BMU,2019,0.8762608,0.8729103,0.977236,1.4583124
BMU,2020,0.8710628,0.6485582,0.9766825,1.4534103
BMU,2021,0.868972,0.6399761,0.974511,1.4563194
BMU,2022,0.8633998,0.8013243,0.9782486,1.214283
BMU,2023,0.6271987,0.8002751,0.9788563,1.4768692
BMU,2024,0.6285431,0.8001056,0.9711697,1.4756305
BTN,2010,-0.8672294,0.1661014,0.7505364,0.4330688
BTN,2011,-0.8648393,0.2019468,0.7467369,0.4711814
BTN,2012,-0.8397388,0.1873333,0.7756826,0.5172017
BTN,2013,-0.8405889,0.2565264,0.7771733,0.6398365
BTN,2014,-0.7275481,0.3487073,1.1573285,0.4198133
BTN,2015,-0.4015773,0.5171592,0.9981818,0.3649184
BTN,2016,-0.344326,0.5150738,1.1113941,0.440651
